Label,H_mean,H_std,S_mean,S_std,V_mean,V_std,25th Percentile,50th Percentile,75th Percentile
positivo,32.23737821080602,11.254774900056134,150.42338352524357,53.38799291994702,167.42869796279894,38.0990563639656,29.0,139.0,159.0
negativo,29.176262178919398,15.340710521836574,61.185119574845,78.84835548125396,175.18423383525243,35.59179152391107,29.0,35.0,161.0
negativo,30.87245349867139,17.024486957299583,58.75022143489814,79.50252522266207,176.70150575730736,36.374666909437856,29.0,35.0,158.0
negativo,26.45615589016829,10.833226441974848,99.1302037201063,64.28243881354207,168.95482728077945,37.04502199663294,31.0,76.0,152.0
positivo,30.75907883082374,11.835545292325238,163.64216120460586,51.12737383529263,157.2931798051373,41.20146399710122,27.0,133.0,158.0
negativo,26.098317094774135,10.614014116349795,106.43666961913198,62.54278055347627,171.8281665190434,36.070650390296585,31.0,91.0,157.0
negativo,28.517271922054917,11.758716616729894,67.79273693534101,75.6869777499651,161.7023914968999,39.991185959189316,33.0,39.0,145.0
negativo,29.190434012400356,12.088031717149164,64.43666961913198,77.06576236471952,168.24269264836138,37.4087789487927,33.0,37.0,151.5
negativo,27.284322409211693,11.327703114253984,66.99202834366696,76.14615176700599,174.99025686448184,34.63908426030968,31.0,38.0,159.0
negativo,27.862710363153234,12.024396521128734,62.0177147918512,78.27758088029648,169.207263064659,36.85986557739203,29.0,35.0,154.0
negativo,24.819309123117804,10.09227309079396,116.02834366696192,58.70355403948585,171.15411868910542,37.667855015381264,29.0,101.0,155.0
positivo,30.24977856510186,12.040585428910662,189.37378210806023,48.2206533740987,156.88042515500442,41.15968231819727,26.0,137.0,189.0
positivo,30.37466784765279,11.976080216129711,173.0177147918512,53.80298711257351,171.4030115146147,35.82196442556345,27.0,144.0,171.0
negativo,24.63153232949513,10.057175672415157,103.04340124003544,64.12506376433903,171.98405668733392,35.78438670943504,29.0,86.0,156.0
positivo,31.03985828166519,11.722326451976189,152.72364924712136,58.307648828662046,172.51018600531444,34.93727306871911,28.0,132.0,164.0
positivo,30.66607617360496,11.873898651736821,180.47298494242693,46.441706329963466,161.76793622674933,40.67766528294174,27.0,139.0,181.0
positivo,31.16120460584588,11.66807932252886,179.62621789193977,51.92684320396133,167.54030115146148,36.6768187178835,28.0,145.0,171.0
positivo,30.381753764393267,11.988718646328332,136.66696191319753,61.11015173057928,163.925597874225,39.28927658284633,27.0,120.0,153.0
negativo,27.70682019486271,11.345135388119264,70.76970770593445,74.55856582462016,160.5987599645704,40.1969601486721,33.0,42.0,143.0
negativo,34.00708591674048,19.924746449875368,52.18689105403011,81.97284848281062,175.4047829937998,36.67258739478813,23.0,35.0,157.0
negativo,24.86536758193091,10.180720237096061,85.59964570416298,68.97118844860258,168.4871567759079,36.58129817595988,30.0,61.0,152.0
negativo,31.24800708591674,16.447370449396587,55.29849424269265,80.74974412198688,171.0115146147033,36.517450968714165,24.0,35.0,154.0
positivo,29.981399468556244,12.13719219411191,208.1744906997343,24.151291400060938,155.75199291408325,42.49202038376165,26.0,139.0,201.0
negativo,25.508414526129318,10.462475445015722,93.58901682905226,65.83596993242395,159.3826395039858,41.21243437761055,31.0,70.0,141.0
positivo,31.814880425155003,11.404018918060752,144.28255093002656,51.326020472558,173.93711248892825,34.49045175359626,28.0,135.0,161.0
positivo,32.268379096545615,11.220303039384126,137.4472984942427,52.040260988374975,172.4977856510186,35.19396141113974,29.0,127.0,157.0
positivo,29.95128432240921,12.141778361804567,193.11603188662534,36.37614485912563,155.36492471213464,42.17164776395621,26.0,137.0,189.0
negativo,24.813108945969883,10.059062339645696,124.74756421612047,55.9056292001404,171.73162090345437,36.33182474149516,29.0,111.0,155.0
negativo,24.41452612931798,9.895467902314618,148.022143489814,50.3757049012545,167.43578387953943,37.068839252362736,29.0,139.0,155.0
negativo,25.0947741364039,10.19790262947322,121.18423383525244,59.55658175134447,168.96457041629762,36.782613527890035,30.0,109.0,154.0
negativo,30.069973427812222,12.843455909456086,58.65810451727192,79.36438164454371,163.2418069087688,39.135917083246845,29.0,35.0,147.0
negativo,26.5748449955713,11.116339668050703,79.69353410097432,71.74023089442628,167.70770593445528,37.91825554524706,32.0,55.0,151.0
negativo,25.683790965456154,10.579410513609535,75.55978742249779,72.84395040788601,172.65721877767936,35.058654428961184,30.0,48.0,157.0
negativo,30.062001771479185,16.74366900106895,56.256864481842335,80.32660031770774,171.05403011514613,37.810746197941555,26.0,33.0,153.0
positivo,33.04694419840567,10.92029712255547,141.7139061116032,47.82258502349635,162.1231178033658,39.494030747461416,30.0,127.0,145.0
positivo,30.517271922054917,11.912803705036062,216.20814880425155,46.85350295997108,164.24712134632418,37.842057354513635,26.0,146.0,225.0
positivo,30.38086802480071,11.999565490706466,156.64658990256865,58.08923825339909,172.25243578387955,35.95700433891664,27.0,139.0,167.0
positivo,32.27369353410097,11.224594528036784,137.7139061116032,50.98438073118192,174.2311780336581,34.28632967522282,29.0,124.0,159.0
negativo,28.097431355181577,12.460079124548837,63.184233835252435,77.88739390140817,175.16209034543843,34.44047685413872,30.0,37.0,160.0
positivo,33.20992028343667,10.873018950225479,122.83525243578389,55.960771380744475,167.8697962798937,36.77487420703761,30.0,108.0,152.0
negativo,25.310008857395925,10.293371455724282,110.69973427812224,61.77542408030399,170.3613817537644,35.89782957933605,30.0,96.0,155.0
negativo,26.866253321523473,10.98032721264164,90.75553587245349,67.54924410390304,172.84056687333924,35.834296604536505,32.0,67.0,158.0
negativo,32.88396811337467,17.869911765914505,53.4340124003543,81.46425329575169,167.61381753764394,39.99713922948038,24.0,35.0,148.0
negativo,28.62798937112489,12.059263004531601,66.43312666076173,76.53621384210946,169.5686448184234,37.08598356753471,33.0,38.0,152.0
negativo,26.238263950398583,10.768063983199278,78.08680248007086,72.06030034054828,167.73073516386182,37.22155131950416,31.0,52.0,151.0
positivo,31.844995571302036,11.38729087481526,153.03631532329496,50.86394007086065,168.79007971656333,36.48777958782398,28.0,142.0,160.5
negativo,25.895482728077944,10.58792813948521,87.23294951284322,68.65625170650004,161.71302037201062,40.00071986288176,31.0,64.0,144.0
positivo,32.184233835252435,11.24340883041186,157.25243578387955,46.43970018840192,167.86182462356066,36.82311685644322,28.0,143.0,159.0
positivo,29.799822852081487,12.218513880855607,156.63330380868024,54.740875921948934,162.74933569530558,39.57043547954131,26.0,132.0,159.0
positivo,30.467670504871567,11.93379545019714,196.9069973427812,50.222862355776336,171.0115146147033,36.25137180520327,26.0,149.0,192.0
positivo,32.03542958370239,11.30198187691061,153.87068201948628,46.02147532340935,172.73427812223207,34.997131141903175,28.0,144.0,160.0
negativo,25.571302037201065,10.429420732555409,89.56687333923827,67.41616977993533,160.90434012400354,39.278137322291165,31.0,63.0,143.0
positivo,33.19309123117803,10.866771338323105,132.1302037201063,53.80679161393005,167.64127546501328,37.04436471445723,30.0,122.0,152.0
negativo,24.899025686448184,10.12072779131582,111.76262178919397,64.49336782210746,173.44995571302036,38.787164497535635,29.0,91.0,154.0
negativo,27.990256864481843,11.725563241328892,80.16829052258636,71.17381028763177,165.4844995571302,39.9618726474821,33.0,54.0,146.0
negativo,25.50575730735164,10.450957321032496,84.92471213463241,69.17662404966201,168.08503100088575,37.219715303643135,31.0,60.0,151.0
negativo,26.092116917626218,10.979424344546239,65.75022143489814,76.84216832565991,167.22409211691763,38.772785291603064,29.0,38.0,147.0
positivo,29.935341009743137,12.153443230961829,208.9583702391497,24.474549666961536,153.77856510186004,43.03685199924409,26.0,137.0,202.0
positivo,30.225863596102744,12.033589127984467,195.57750221434898,45.84613876674377,166.8963684676705,37.46843815124928,26.0,148.0,200.0
positivo,32.279893711248896,11.2121641517844,150.24534986713905,50.59683677876171,167.8193091231178,37.35792856207599,29.0,137.0,159.0
positivo,31.92028343666962,11.380091761212777,136.37998228520814,59.47557937269734,168.9867139061116,38.68080181854547,28.0,122.0,157.0
negativo,31.361381753764395,19.916400927451217,61.158547387068204,78.62423453923206,175.74402125775023,36.17792639118348,29.0,36.0,158.0
positivo,30.153232949512844,12.056645558592974,219.4561558901683,25.304629048832016,164.18423383525243,38.35965273311757,26.0,149.0,216.0
positivo,31.29583702391497,11.60751682304086,181.95039858281666,49.92589035945978,166.69353410097432,37.80126066759267,27.0,145.0,179.0
positivo,30.844995571302036,11.808925863460066,146.85296722763508,58.24776492866427,166.46412754650132,37.620509609549764,27.0,130.0,158.0
positivo,33.031000885739594,10.996251675119474,132.13994685562446,59.30542679913124,171.9185119574845,37.70112880887415,30.5,126.0,157.0
negativo,30.87422497785651,13.550814380295582,58.12488928255093,79.63300114970606,167.303808680248,38.04364182694335,28.0,36.0,150.0
negativo,30.334809565987598,15.941251810511748,55.91496899911426,80.41100046932773,170.46767050487156,38.13452332056878,25.0,32.0,153.0
negativo,25.87776793622675,10.638563638638269,76.55535872453498,72.77066875027948,174.82905225863595,34.26037444250401,31.0,49.0,160.0
negativo,28.83968113374668,12.928089668120696,58.20549158547387,79.61786682275974,170.27192205491585,36.54577822469841,28.0,35.0,155.0
positivo,33.53232949512843,10.812971164989994,118.42338352524358,60.132357869568715,165.11071744906997,40.02923157224877,31.0,106.0,145.0
positivo,31.78476527900797,11.407528552363303,163.348095659876,51.14187874149352,165.5438441098317,37.97771104881312,28.0,140.0,166.0
negativo,24.598759964570416,9.980194659521434,108.41364038972542,61.213270688304256,170.96191319751992,35.78245165047024,29.0,89.0,156.0
negativo,25.00708591674048,10.286504410933837,81.02922940655448,70.52115271955095,165.53764393268378,38.27762842741612,30.0,54.0,148.0
positivo,31.814880425155003,11.382795511909624,190.79805137289637,29.650129249184985,170.8104517271922,35.600497561605124,28.0,155.0,182.0
negativo,24.331266607617362,9.880333880924242,126.63507528786536,56.592162469583215,171.24800708591675,35.700314448773604,29.0,112.0,156.0
positivo,30.50752878653676,11.934950127610561,153.06023029229408,56.21126088005437,168.51461470327723,37.50323291476096,27.0,136.0,163.0
positivo,30.923826395039857,11.775710580353646,141.66784765279007,58.00641700299255,168.32683790965456,37.53687760754444,27.0,126.0,160.0
